Row Number,Customer ID,First Name,State,Gender,Age,Salary,Credit Score,Tenure,Balance,HasCrCard,Card Type,HasLoan,HasFD,Num Of Products,IsActiveMember,Exited,Complain,Count of Complains,Satisfaction Score,Point Earned,Preferred Channel
2558,KA02558,Saanvi,Karnataka,Female,58,29000,592,7,7066.43,1,Silver,0,0,1,0,1,1,13,1,0,Branch
2559,KA02559,Arvind,Karnataka,Male,47,77000,654,6,59628.69,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
2560,TN02560,Suresh,Tamil Nadu,Male,35,194000,812,10,245148.19,0,Not Applicable,0,0,0,1,0,0,0,4,90,Phone
2561,KA02561,Rashmi,Karnataka,Female,56,111000,749,2,193866.84,0,Not Applicable,1,1,2,1,0,0,0,10,150,Mobile
2562,MH02562,Divya,Maharashtra,Female,33,66000,737,1,225326.75,1,Platinum,0,0,1,1,0,0,0,8,130,Phone
2563,TN02563,Manish,Tamil Nadu,Male,41,34000,708,9,72338.78,0,Not Applicable,0,0,0,1,0,0,0,5,100,Email
2564,MH02564,Swati,Maharashtra,Female,47,123000,659,1,64136.53,1,Silver,1,0,2,1,0,0,0,7,120,Mobile
2565,KA02565,Ankit,Karnataka,Male,43,155000,707,6,69392.04,1,Silver,0,0,1,1,0,0,0,9,140,Mobile
2566,DL02566,Kartik,Delhi,Male,26,124000,735,8,120669.25,1,Silver,0,0,1,1,0,0,0,6,110,Mobile
2567,KA02567,Neha,Karnataka,Female,49,136000,711,2,11154.02,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
2568,TN02568,Bharat,Tamil Nadu,Male,57,159000,600,2,0,0,Not Applicable,0,0,0,0,1,1,28,5,0,Phone
2569,WB02569,Kunal,West Bengal,Male,74,111000,576,2,0,0,Not Applicable,1,0,1,0,1,0,0,2,70,Phone
2570,MH02570,Tina,Maharashtra,Female,52,34000,651,3,34786.15,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
2571,MH02571,Ravi,Maharashtra,Male,34,54000,635,5,0,0,Not Applicable,0,1,1,1,0,0,0,9,140,Phone
2572,MH02572,Kavita,Maharashtra,Female,63,52000,600,1,35663.2,1,Silver,0,0,1,0,1,0,0,6,110,Mobile
2573,MH02573,Ishaan,Maharashtra,Male,49,173000,708,2,0,1,Silver,0,1,2,1,0,0,0,5,100,Mobile
2574,MH02574,Naresh,Maharashtra,Male,62,24000,557,5,0,1,Silver,0,0,1,0,1,0,0,3,80,Phone
2575,DL02575,Sandeep,Delhi,Male,45,64000,711,1,0,1,Gold,0,1,2,1,0,0,0,7,120,Mobile
2576,DL02576,Shreya,Delhi,Female,67,91000,528,2,2978.61,1,Silver,0,1,2,0,1,1,15,2,10,Phone
2577,WB02577,Pankaj,West Bengal,Male,27,193000,650,5,86820.6,0,Not Applicable,0,0,0,1,0,0,0,6,110,Email
2578,MH02578,Krishna,Maharashtra,Male,32,196000,702,7,32382.89,0,Not Applicable,1,0,1,1,0,0,0,4,90,Mobile
2579,MH02579,Kunal,Maharashtra,Male,28,41000,760,3,35295.14,1,Gold,0,0,1,1,0,0,0,10,150,Mobile
2580,DL02580,Ritik,Delhi,Male,53,162000,790,6,110843.5,1,Platinum,1,0,2,1,0,1,1,6,110,Email
2581,DL02581,Mohan,Delhi,Male,35,98000,600,2,110060.04,1,Silver,0,0,1,1,0,0,0,6,110,Branch
2582,MH02582,Rohan,Maharashtra,Male,29,148000,773,5,220066.83,1,Silver,0,0,1,1,0,0,0,4,90,Mobile
2583,MH02583,Charvi,Maharashtra,Female,60,83000,591,2,0,1,Platinum,0,0,1,1,1,1,12,3,6,Email
2584,MH02584,Arvind,Maharashtra,Male,59,92000,646,5,223418.25,1,Silver,1,0,2,1,0,0,0,4,90,Email
2585,WB02585,Aditi,West Bengal,Female,58,116000,676,3,176630.91,0,Not Applicable,1,1,2,1,0,0,0,4,90,Mobile
2586,WB02586,Riya,West Bengal,Female,49,49000,680,3,233033.65,1,Platinum,0,0,1,1,0,0,0,4,90,Mobile
2587,DL02587,Krishna,Delhi,Male,29,148000,645,2,182361.53,1,Silver,0,1,2,1,0,0,0,8,130,Mobile
2588,MH02588,Vihaan,Maharashtra,Male,27,113000,665,6,93130.96,1,Platinum,0,0,1,1,0,1,1,8,130,Mobile
2589,KA02589,Esha,Karnataka,Female,34,66000,835,6,108880.04,1,Silver,0,1,2,1,0,0,0,6,110,Email
2590,MH02590,Shruti,Maharashtra,Female,62,169000,526,2,21392.51,1,Silver,0,0,1,0,1,1,25,4,0,Mobile
2591,TN02591,Alka,Tamil Nadu,Female,46,92000,691,6,41782.23,0,Not Applicable,1,0,1,1,0,0,0,4,90,Branch
2592,WB02592,Suresh,West Bengal,Male,63,25000,489,2,0,1,Gold,1,1,3,0,1,0,0,6,230,Branch
2593,MH02593,Aditi,Maharashtra,Female,29,158000,655,5,236244.93,0,Not Applicable,1,1,2,1,0,0,0,5,100,Mobile
2594,TN02594,Neel,Tamil Nadu,Male,27,122000,666,3,37131.48,1,Silver,1,1,3,1,0,0,0,9,140,Mobile
2595,MH02595,Kunal,Maharashtra,Male,29,148000,714,3,138656.14,1,Platinum,1,0,2,1,0,0,0,8,130,Mobile
2596,MH02596,Vijay,Maharashtra,Male,38,148000,676,5,58713.37,1,Gold,0,0,1,1,0,0,0,5,100,Mobile
2597,MH02597,Tina,Maharashtra,Female,51,125000,652,2,171093.05,0,Not Applicable,0,1,1,1,0,1,2,7,120,Email
2598,KA02598,Kunal,Karnataka,Male,60,36000,474,4,36975.27,1,Silver,1,1,3,1,1,0,0,1,60,Phone
2599,KA02599,Vaishnavi,Karnataka,Female,56,53000,662,2,186987.9,1,Silver,0,0,1,1,0,0,0,10,150,Email
2600,KA02600,Naresh,Karnataka,Male,25,89000,717,7,21125.5,1,Gold,0,0,1,1,0,0,0,8,130,Mobile
2601,TN02601,Saanvi,Tamil Nadu,Female,53,48000,743,7,113023.97,0,Not Applicable,0,1,1,1,0,0,0,4,90,Email
2602,TN02602,Prakash,Tamil Nadu,Male,76,157000,551,6,0,1,Platinum,0,1,2,0,1,1,22,1,0,Email
2603,KA02603,Ashok,Karnataka,Male,42,46000,693,2,0,1,Silver,0,0,1,1,0,0,0,5,100,Branch
2604,MH02604,Mohan,Maharashtra,Male,69,28000,534,2,0,0,Not Applicable,1,1,2,0,1,1,29,4,22,Branch
2605,WB02605,Komal,West Bengal,Female,32,42000,776,10,235856.19,1,Silver,1,1,3,1,0,1,5,4,30,Email
2606,DL02606,Raj,Delhi,Male,38,176000,728,6,122784.67,1,Silver,0,1,2,1,0,0,0,9,140,Email
2607,MH02607,Prakash,Maharashtra,Male,73,19000,449,2,28393.46,1,Silver,0,0,1,1,1,1,4,2,70,Mobile
2608,TN02608,Vivaan,Tamil Nadu,Male,58,45000,611,1,47434.99,1,Gold,0,1,2,1,0,0,0,7,120,Phone
2609,MH02609,Khushi,Maharashtra,Female,59,151000,675,6,139280.92,1,Silver,0,1,2,1,0,0,0,9,140,Email
2610,DL02610,Kavita,Delhi,Female,79,183000,562,2,35843.66,1,Platinum,1,0,2,1,1,0,0,3,80,Email
2611,MH02611,Shreya,Maharashtra,Female,74,94000,594,1,8164.39,1,Platinum,0,0,1,0,1,1,11,6,38,Phone
2612,KA02612,Mohan,Karnataka,Male,28,138000,785,4,0,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
2613,DL02613,Aditi,Delhi,Female,38,75000,633,2,122082.21,1,Gold,1,1,3,1,0,0,0,8,130,Email
2614,DL02614,Manish,Delhi,Male,50,138000,710,1,147259.35,0,Not Applicable,0,1,1,1,0,1,12,9,66,Mobile
2615,TN02615,Suraj,Tamil Nadu,Male,45,170000,705,5,241434.17,1,Platinum,0,0,1,1,0,0,0,5,100,Email
2616,MH02616,Priya,Maharashtra,Female,69,140000,600,3,30377.89,0,Not Applicable,0,0,0,1,1,1,26,4,0,Phone
2617,DL02617,Ishita,Delhi,Female,44,49000,615,5,244474.64,1,Gold,0,1,2,1,0,0,0,4,90,Email
2618,TN02618,Ishita,Tamil Nadu,Female,55,39000,488,1,0,1,Platinum,1,0,2,0,1,1,11,2,18,Branch
2619,WB02619,Tanmay,West Bengal,Male,49,110000,726,2,37635.93,1,Silver,1,0,2,1,0,0,0,10,150,Email
2620,TN02620,Komal,Tamil Nadu,Female,62,155000,523,5,24807.62,1,Gold,0,0,1,0,1,0,0,10,150,Phone
2621,WB02621,Manisha,West Bengal,Female,75,136000,465,2,7149.07,1,Platinum,0,0,1,0,1,0,0,6,110,Phone
2622,DL02622,Tarun,Delhi,Male,59,138000,643,5,111841.85,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
2623,DL02623,Meenal,Delhi,Female,29,96000,684,5,33692.85,1,Silver,1,0,2,1,0,0,0,8,130,Email
2624,MH02624,Sumit,Maharashtra,Male,55,30000,569,9,7060.77,1,Silver,1,0,2,0,1,0,0,7,190,Mobile
2625,KA02625,Tanmay,Karnataka,Male,32,114000,743,5,0,1,Platinum,0,0,1,1,0,0,0,5,100,Email
2626,KA02626,Ramesh,Karnataka,Male,37,174000,712,2,145278.17,1,Silver,0,0,1,1,0,0,0,7,120,Email
2627,KA02627,Aarav,Karnataka,Male,47,88000,663,1,235846.93,1,Gold,0,0,1,1,0,0,0,9,140,Phone
2628,MH02628,Krishna,Maharashtra,Male,53,18000,589,1,0,1,Platinum,0,0,1,0,1,0,0,3,80,Mobile
2629,MH02629,Naveen,Maharashtra,Male,30,142000,605,5,186608.3,1,Silver,0,1,2,1,0,1,12,7,46,Mobile
2630,WB02630,Ishaan,West Bengal,Male,59,75000,731,4,201683.07,1,Silver,1,0,2,1,0,0,0,6,110,Email
2631,WB02631,Bhavya,West Bengal,Female,55,174000,751,2,0,1,Silver,1,0,2,1,0,0,0,8,130,Mobile
2632,TN02632,Yogesh,Tamil Nadu,Male,57,53000,763,10,31316.38,1,Gold,0,0,1,1,0,0,0,9,140,Mobile
2633,TN02633,Ankita,Tamil Nadu,Female,33,62000,731,10,64619.77,1,Platinum,1,0,2,1,0,0,0,8,130,Mobile
2634,MH02634,Naresh,Maharashtra,Male,52,46000,753,7,245513.19,0,Not Applicable,0,1,1,1,0,0,0,4,90,Mobile
2635,TN02635,Deepak,Tamil Nadu,Male,61,13000,600,2,0,1,Gold,0,0,1,1,1,1,30,6,0,Email
2636,KA02636,Sandeep,Karnataka,Male,68,20000,523,9,39695.85,1,Platinum,0,0,1,0,1,0,0,1,60,Mobile
2637,TN02637,Aditya,Tamil Nadu,Male,40,112000,678,7,206173.48,1,Gold,0,1,2,1,0,1,23,7,24,Mobile
2638,KA02638,Kavita,Karnataka,Female,57,60000,600,4,41577.52,1,Silver,0,0,1,0,1,1,30,1,0,Email
2639,MH02639,Vihaan,Maharashtra,Male,52,44000,600,4,0,0,Not Applicable,0,0,0,1,1,0,0,8,130,Mobile
2640,MH02640,Suman,Maharashtra,Female,33,166000,706,3,61830.26,0,Not Applicable,0,0,0,1,0,0,0,6,110,Phone
2641,DL02641,Poonam,Delhi,Female,28,34000,729,1,153185.75,0,Not Applicable,0,1,1,1,0,0,0,6,110,Mobile
2642,MH02642,Anirudh,Maharashtra,Male,29,190000,723,5,0,1,Gold,1,0,2,1,0,0,0,5,100,Mobile
2643,MH02643,Sandeep,Maharashtra,Male,55,181000,600,6,44125.97,0,Not Applicable,0,0,0,0,1,0,0,2,50,Mobile
2644,DL02644,Pankaj,Delhi,Male,54,170000,631,4,48154.3,1,Gold,1,0,2,1,0,1,14,5,22,Mobile
2645,MH02645,Esha,Maharashtra,Female,41,84000,663,4,236302.46,1,Gold,0,1,2,1,0,0,0,6,110,Phone
2646,DL02646,Arjun,Delhi,Male,50,167000,722,8,124592.68,1,Silver,1,0,2,1,0,0,0,10,150,Mobile
2647,TN02647,Vikas,Tamil Nadu,Male,46,123000,836,2,166275.66,1,Platinum,0,0,1,1,0,1,18,6,24,Email
2648,TN02648,Ashok,Tamil Nadu,Male,55,112000,629,10,28141.71,1,Gold,0,0,1,1,0,0,0,4,90,Mobile
2649,TN02649,Arvind,Tamil Nadu,Male,29,154000,765,3,115233.4,1,Silver,0,1,2,1,0,0,0,10,150,Mobile
2650,WB02650,Naresh,West Bengal,Male,34,157000,730,10,92063.77,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
2651,TN02651,Poonam,Tamil Nadu,Female,73,83000,596,5,44606.5,1,Silver,0,0,1,0,1,0,0,2,70,Email
2652,WB02652,Charvi,West Bengal,Female,37,163000,691,10,186571.03,1,Silver,0,1,2,1,0,0,0,6,110,Email
2653,MH02653,Gopal,Maharashtra,Male,47,117000,699,2,201140.8,0,Not Applicable,1,1,2,1,0,0,0,6,110,Mobile
2654,MH02654,Meenal,Maharashtra,Female,59,109000,723,3,90321.19,1,Silver,1,0,2,1,0,1,15,6,30,Phone
2655,DL02655,Gopal,Delhi,Male,38,110000,710,2,214152.02,1,Silver,0,1,2,1,0,0,0,5,100,Email
2656,KA02656,Nitya,Karnataka,Female,60,141000,665,1,164721.66,1,Gold,1,0,2,1,0,0,0,5,100,Email
2657,KA02657,Ishaan,Karnataka,Male,48,105000,701,7,211732.61,1,Gold,0,0,1,1,0,0,0,10,150,Phone
2658,MH02658,Krishna,Maharashtra,Male,40,188000,709,3,11179.94,1,Silver,0,1,2,1,0,0,0,4,90,Phone
2659,MH02659,Kavita,Maharashtra,Female,40,193000,774,3,98055.16,1,Gold,0,0,1,1,0,0,0,4,90,Email
2660,MH02660,Sandeep,Maharashtra,Male,65,163000,546,1,45200.46,1,Silver,1,0,2,1,1,0,0,2,70,Email
2661,MH02661,Amit,Maharashtra,Male,56,32000,673,10,165875.96,1,Silver,1,1,3,1,0,0,0,4,90,Phone
2662,MH02662,Poonam,Maharashtra,Female,34,56000,646,8,106609.86,0,Not Applicable,0,1,1,1,0,0,0,10,150,Mobile
2663,KA02663,Ankita,Karnataka,Female,53,61000,776,6,129680.26,0,Not Applicable,0,1,1,1,0,0,0,7,120,Mobile
2664,MH02664,Naresh,Maharashtra,Male,33,87000,704,2,80328.1,1,Gold,0,1,2,1,0,0,0,10,150,Mobile
2665,MH02665,Riya,Maharashtra,Female,48,151000,675,9,0,1,Silver,0,1,2,1,0,1,22,10,56,Mobile
2666,TN02666,Anirudh,Tamil Nadu,Male,35,52000,703,2,52926.8,0,Not Applicable,0,0,0,1,0,0,0,9,140,Email
2667,MH02667,Manisha,Maharashtra,Female,38,38000,679,10,101607.69,1,Gold,0,1,2,1,0,0,0,4,90,Email
2668,MH02668,Ashok,Maharashtra,Male,35,179000,634,2,34387.01,1,Gold,1,0,2,1,0,0,0,7,120,Phone
2669,MH02669,Kavita,Maharashtra,Female,44,90000,705,1,244909.29,1,Platinum,0,0,1,1,0,1,25,5,0,Mobile
2670,WB02670,Shreya,West Bengal,Female,32,99000,601,4,165570.81,1,Gold,0,0,1,1,0,0,0,8,130,Mobile
2671,TN02671,Aditya,Tamil Nadu,Male,43,51000,729,2,134877.5,1,Silver,0,1,2,1,0,1,8,5,34,Email
2672,KA02672,Aditya,Karnataka,Male,60,24000,540,3,38768.86,0,Not Applicable,0,0,0,0,1,0,0,2,50,Email
2673,KA02673,Diya,Karnataka,Female,50,185000,749,1,38674.48,1,Platinum,0,0,1,1,0,0,0,7,120,Mobile
2674,MH02674,Pooja,Maharashtra,Female,39,57000,694,2,32946.39,0,Not Applicable,0,0,0,1,0,0,0,6,110,Email
2675,MH02675,Bharat,Maharashtra,Male,28,145000,715,2,214316.46,1,Silver,0,1,2,1,0,0,0,5,100,Mobile
2676,KA02676,Amit,Karnataka,Male,43,95000,699,2,39915.22,1,Platinum,0,0,1,1,0,0,0,10,150,Email
2677,KA02677,Sumit,Karnataka,Male,44,54000,752,2,81858.28,1,Silver,0,0,1,1,0,0,0,6,110,Phone
2678,KA02678,Rahul,Karnataka,Male,50,71000,757,6,41125.95,1,Gold,0,1,2,1,0,0,0,7,120,Email
2679,MH02679,Mohan,Maharashtra,Male,36,169000,699,9,17415.82,1,Silver,0,1,2,1,0,0,0,5,100,Mobile
2680,TN02680,Riya,Tamil Nadu,Female,39,137000,600,5,0,1,Silver,0,1,2,1,0,0,0,6,110,Phone
2681,DL02681,Manisha,Delhi,Female,75,91000,600,1,20896.86,1,Platinum,1,0,2,0,1,0,0,3,110,Mobile
2682,DL02682,Ashok,Delhi,Male,25,75000,703,2,220226.1,0,Not Applicable,1,0,1,1,0,1,2,10,150,Mobile
2683,KA02683,Pooja,Karnataka,Female,77,21000,485,9,46187.69,1,Gold,1,0,2,0,1,1,25,4,30,Branch
2684,MH02684,Kunal,Maharashtra,Male,30,78000,696,6,142463.8,1,Gold,0,1,2,1,0,1,30,5,0,Email
2685,MH02685,Gopal,Maharashtra,Male,76,170000,463,2,0,1,Gold,1,0,2,0,1,1,22,5,56,Phone
2686,KA02686,Neha,Karnataka,Female,27,170000,709,8,222498.38,1,Gold,0,1,2,1,0,1,13,5,24,Mobile
2687,MH02687,Saanvi,Maharashtra,Female,55,36000,693,8,115123.81,1,Gold,0,1,2,1,0,0,0,7,120,Email
2688,DL02688,Deepak,Delhi,Male,48,198000,718,4,48306.08,1,Platinum,0,1,2,1,0,1,16,8,48,Branch
2689,MH02689,Gopal,Maharashtra,Male,55,101000,721,2,239495.36,1,Gold,0,0,1,1,0,0,0,4,90,Branch
2690,MH02690,Nandini,Maharashtra,Female,45,89000,725,1,94139.12,1,Gold,1,0,2,1,0,1,25,8,30,Mobile
2691,WB02691,Farah,West Bengal,Female,45,186000,660,6,163394.12,0,Not Applicable,0,1,1,1,0,0,0,9,140,Mobile
2692,TN02692,Sheetal,Tamil Nadu,Female,51,162000,513,1,0,1,Platinum,0,0,1,0,1,1,11,5,28,Mobile
2693,MH02693,Amit,Maharashtra,Male,47,93000,850,5,179365.55,1,Platinum,0,1,2,1,0,1,26,5,0,Mobile
2694,MH02694,Shreya,Maharashtra,Female,50,82000,502,2,0,1,Platinum,0,1,2,1,1,1,20,3,0,Mobile
2695,MH02695,Ashok,Maharashtra,Male,60,152000,663,1,0,1,Platinum,0,1,2,1,0,1,19,10,62,Email
2696,MH02696,Ramesh,Maharashtra,Male,66,182000,595,5,8979.76,1,Silver,0,0,1,0,1,0,0,1,60,Branch
2697,KA02697,Komal,Karnataka,Female,52,192000,695,2,227803.35,1,Gold,0,0,1,1,0,0,0,10,150,Mobile
2698,KA02698,Bharat,Karnataka,Male,41,86000,643,2,232532.99,1,Silver,0,0,1,1,0,0,0,6,110,Email
2699,KA02699,Suman,Karnataka,Female,41,128000,782,7,246268.63,1,Silver,0,1,2,1,0,0,0,7,120,Branch
2700,TN02700,Farah,Tamil Nadu,Female,44,167000,768,2,158248.26,1,Silver,0,1,2,1,0,0,0,7,120,Phone
2701,TN02701,Rashmi,Tamil Nadu,Female,48,170000,731,3,150151.1,0,Not Applicable,0,0,0,1,0,0,0,6,110,Email
2702,MH02702,Ananya,Maharashtra,Female,51,156000,666,2,78061.67,1,Silver,1,0,2,1,0,0,0,5,100,Phone
2703,KA02703,Ankita,Karnataka,Female,36,93000,719,3,172356.76,0,Not Applicable,0,0,0,1,0,0,0,8,130,Branch
2704,DL02704,Swati,Delhi,Female,56,110000,675,3,127968.16,1,Platinum,0,1,2,1,0,0,0,6,110,Mobile
2705,KA02705,Meenal,Karnataka,Female,49,171000,708,9,99323.58,1,Silver,1,1,3,1,0,1,22,8,36,Mobile
2706,TN02706,Rohan,Tamil Nadu,Male,47,166000,731,5,36921.09,1,Gold,0,0,1,1,0,0,0,5,100,Phone
2707,MH02707,Suresh,Maharashtra,Male,47,195000,657,2,64352.88,1,Platinum,0,0,1,1,0,1,7,4,26,Mobile
2708,TN02708,Sheetal,Tamil Nadu,Female,33,144000,600,1,25242.6,1,Gold,0,1,2,1,0,0,0,5,100,Mobile
2709,KA02709,Raj,Karnataka,Male,48,77000,661,10,23182.1,1,Gold,0,0,1,1,0,1,24,10,52,Mobile
2710,DL02710,Tina,Delhi,Female,42,91000,673,10,0,1,Gold,0,1,2,1,0,1,18,6,24,Mobile
2711,TN02711,Umesh,Tamil Nadu,Male,57,38000,760,3,39776.65,1,Silver,0,1,2,1,0,0,0,6,110,Email
2712,KA02712,Rajesh,Karnataka,Male,55,43000,722,4,152571.36,1,Gold,1,1,3,1,0,0,0,9,140,Mobile
2713,TN02713,Ananya,Tamil Nadu,Female,45,131000,644,3,188761.02,1,Gold,0,1,2,1,0,0,0,4,90,Phone
2714,MH02714,Ankit,Maharashtra,Male,78,120000,554,1,0,1,Platinum,1,0,2,1,1,1,6,3,18,Branch
2715,TN02715,Sumit,Tamil Nadu,Male,31,196000,633,6,140059.83,0,Not Applicable,0,1,1,1,0,0,0,6,110,Mobile
2716,MH02716,Shivam,Maharashtra,Male,37,55000,661,5,185122.33,1,Gold,0,1,2,1,0,0,0,4,90,Email
2717,MH02717,Geeta,Maharashtra,Female,33,154000,676,1,30332.67,1,Gold,1,0,2,1,0,0,0,6,110,Mobile
2718,TN02718,Sanjay,Tamil Nadu,Male,31,85000,773,5,0,1,Gold,0,1,2,1,0,0,0,10,150,Mobile
2719,MH02719,Sheetal,Maharashtra,Female,50,52000,661,5,223280.49,1,Platinum,0,0,1,1,0,0,0,7,120,Mobile
2720,MH02720,Suman,Maharashtra,Female,38,50000,683,4,202534.02,0,Not Applicable,0,1,1,1,0,0,0,8,130,Phone
2721,KA02721,Simran,Karnataka,Female,41,60000,688,7,198257.97,0,Not Applicable,0,0,0,1,0,0,0,4,90,Phone
2722,DL02722,Yogesh,Delhi,Male,58,32000,556,1,0,1,Platinum,0,0,1,0,1,1,15,5,20,Email
2723,MH02723,Ishita,Maharashtra,Female,70,150000,529,1,49831,1,Gold,0,1,2,0,1,1,30,6,60,Branch
2724,KA02724,Suraj,Karnataka,Male,36,89000,706,1,125836.36,1,Platinum,0,1,2,1,0,0,0,5,100,Phone
2725,TN02725,Sumit,Tamil Nadu,Male,66,128000,536,2,28362.63,1,Gold,0,0,1,0,1,1,23,6,14,Email
2726,MH02726,Saanvi,Maharashtra,Female,44,50000,630,8,94970.98,0,Not Applicable,0,0,0,1,0,1,11,7,48,Email
2727,WB02727,Rahul,West Bengal,Male,42,48000,653,3,210310.09,1,Platinum,0,1,2,1,0,0,0,5,100,Email
2728,MH02728,Rajesh,Maharashtra,Male,29,165000,648,2,166289.94,0,Not Applicable,0,0,0,1,0,0,0,10,150,Mobile
2729,MH02729,Yogesh,Maharashtra,Male,57,32000,676,5,180826.11,1,Silver,0,0,1,1,0,0,0,9,140,Phone
2730,WB02730,Gopal,West Bengal,Male,34,105000,737,2,248174.89,1,Silver,0,0,1,1,0,0,0,7,120,Email
2731,DL02731,Varsha,Delhi,Female,51,71000,650,5,74266.94,1,Platinum,0,1,2,1,0,1,9,8,62,Mobile
2732,MH02732,Shruti,Maharashtra,Female,45,172000,661,5,26574.2,1,Silver,0,1,2,1,0,0,0,8,130,Email
2733,TN02733,Kartik,Tamil Nadu,Male,58,54000,756,2,16151.4,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
2734,WB02734,Nikhil,West Bengal,Male,39,48000,654,4,150518.66,1,Silver,0,0,1,1,0,0,0,7,120,Email
2735,MH02735,Ritik,Maharashtra,Male,80,11000,523,6,19899.81,1,Platinum,1,0,2,0,1,1,8,6,104,Mobile
2736,KA02736,Diya,Karnataka,Female,55,135000,779,6,199502.22,1,Gold,0,0,1,1,0,0,0,9,140,Email
2737,TN02737,Vijay,Tamil Nadu,Male,31,188000,713,6,180726.54,1,Platinum,0,1,2,1,0,0,0,5,100,Email
2738,KA02738,Umesh,Karnataka,Male,28,42000,755,2,66600.76,1,Silver,0,1,2,1,0,0,0,9,140,Email
2739,TN02739,Rohan,Tamil Nadu,Male,48,179000,648,6,228588.83,0,Not Applicable,0,0,0,1,0,0,0,4,90,Email
2740,MH02740,Anirudh,Maharashtra,Male,29,125000,766,1,193816.15,1,Platinum,0,1,2,1,0,0,0,6,110,Mobile
2741,TN02741,Vivaan,Tamil Nadu,Male,54,192000,623,7,150904.6,1,Silver,0,1,2,1,0,0,0,9,140,Phone
2742,MH02742,Rekha,Maharashtra,Female,61,16000,563,9,18827.13,0,Not Applicable,0,0,0,0,1,0,0,3,50,Email
2743,TN02743,Kunal,Tamil Nadu,Male,53,158000,552,6,0,1,Platinum,1,1,3,1,1,0,0,10,150,Email
2744,DL02744,Pallavi,Delhi,Female,57,31000,739,4,0,1,Gold,0,1,2,1,0,0,0,9,140,Mobile
2745,WB02745,Kartik,West Bengal,Male,60,102000,676,2,245933.26,1,Gold,0,1,2,1,0,0,0,9,140,Mobile
2746,MH02746,Suresh,Maharashtra,Male,45,160000,733,7,140457.18,1,Gold,0,1,2,1,0,1,25,8,30,Email
2747,DL02747,Umesh,Delhi,Male,27,199000,648,2,98063.4,1,Platinum,0,0,1,1,0,0,0,9,140,Mobile
2748,DL02748,Manish,Delhi,Male,47,88000,678,1,97070.71,1,Platinum,0,1,2,1,0,1,1,7,120,Email
2749,MH02749,Pallavi,Maharashtra,Female,36,116000,806,10,99904.29,1,Platinum,0,1,2,1,0,0,0,4,90,Email
2750,TN02750,Ashok,Tamil Nadu,Male,36,188000,751,4,23402.68,1,Gold,0,1,2,1,0,0,0,4,90,Phone
2751,WB02751,Sanjay,West Bengal,Male,55,84000,761,5,164924.48,1,Silver,0,1,2,1,0,0,0,6,110,Email
2752,KA02752,Gopal,Karnataka,Male,78,15000,521,1,16856.19,1,Platinum,0,1,2,0,1,1,25,3,10,Branch
2753,MH02753,Rashmi,Maharashtra,Female,73,150000,522,5,42207.61,1,Silver,1,0,2,0,1,0,0,9,230,Email
2754,MH02754,Dinesh,Maharashtra,Male,47,76000,690,5,56884.29,0,Not Applicable,1,1,2,1,0,0,0,9,140,Email
2755,KA02755,Yogesh,Karnataka,Male,46,185000,741,1,0,1,Platinum,0,0,1,1,0,1,12,4,16,Email
2756,TN02756,Vihaan,Tamil Nadu,Male,59,61000,671,8,24330.65,0,Not Applicable,0,0,0,1,0,1,26,7,18,Mobile
2757,KA02757,Bharat,Karnataka,Male,53,24000,592,3,15854.24,1,Silver,0,0,1,0,1,0,0,5,100,Email
2758,DL02758,Pooja,Delhi,Female,69,74000,482,4,15830,1,Platinum,1,0,2,1,1,1,4,3,80,Phone
2759,MH02759,Rahul,Maharashtra,Male,32,76000,778,10,19299.09,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
2760,DL02760,Manish,Delhi,Male,49,47000,752,5,110283.56,1,Gold,0,0,1,1,0,0,0,10,150,Mobile
2761,MH02761,Poonam,Maharashtra,Female,63,98000,528,1,9746.22,0,Not Applicable,0,0,0,1,1,0,0,6,110,Mobile
2762,KA02762,Kunal,Karnataka,Male,41,141000,626,4,49966.08,1,Platinum,0,0,1,1,0,0,0,5,100,Mobile
2763,TN02763,Mahesh,Tamil Nadu,Male,39,54000,723,6,11114.68,1,Silver,0,1,2,1,0,0,0,5,100,Branch
2764,MH02764,Sumit,Maharashtra,Male,25,64000,775,7,145508.96,0,Not Applicable,1,0,1,1,0,0,0,9,140,Mobile
2765,MH02765,Rahul,Maharashtra,Male,46,135000,701,3,179907.96,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
2766,DL02766,Vikas,Delhi,Male,35,193000,690,4,78860.55,1,Silver,0,1,2,1,0,0,0,4,90,Mobile
2767,MH02767,Kunal,Maharashtra,Male,32,161000,665,4,25281.94,1,Platinum,0,0,1,1,0,0,0,4,90,Email
2768,DL02768,Om,Delhi,Male,28,115000,676,4,113671.18,1,Silver,1,1,3,1,0,0,0,4,90,Email
2769,MH02769,Mohan,Maharashtra,Male,41,86000,678,2,121587.38,1,Silver,0,1,2,1,0,1,27,10,46,Mobile
